"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"262","IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) [LOCAL, USA]","IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) [LOCAL, USA]","0","0","0","","","","ILL"
"263","PROJECTED PUBLICATION DATE","PROJECTED PUBLICATION DATE","0","0","0","","","","ILL"
"264","PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE STATEMENTS","PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE STATEMENTS","1","0","0","","","","ILL"
"265","SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS [OBSOLETE]","SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS [OBSOLETE]","0","0","0","","","","ILL"
"270","ADDRESS","ADDRESS","1","0","0","","","","ILL"
"300","PHYSICAL DESCRIPTION","PHYSICAL DESCRIPTION","1","0","0","","","","ILL"
"301","PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE, USMARC]","PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE, USMARC]","0","0","0","","","","ILL"
"302","PAGE OR ITEM COUNT (BK AM) [OBSOLETE]","PAGE OR ITEM COUNT (BK AM) [OBSOLETE]","0","0","0","","","","ILL"
"303","UNIT COUNT (AM) [OBSOLETE, USMARC]","UNIT COUNT (AM) [OBSOLETE, USMARC]","0","0","0","","","","ILL"
"304","LINEAR FOOTAGE (AM) [OBSOLETE, USMARC]","LINEAR FOOTAGE (AM) [OBSOLETE, USMARC]","0","0","0","","","","ILL"
"305","PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]","PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]","0","0","0","","","","ILL"
"306","PLAYING TIME","PLAYING TIME","0","0","0","","","","ILL"
"307","HOURS, ETC.","HOURS, ETC.","1","0","0","","","","ILL"
"308","PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]","PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]","1","0","0","","","","ILL"
"310","CURRENT PUBLICATION FREQUENCY","CURRENT PUBLICATION FREQUENCY","0","0","0","","","","ILL"
"315","FREQUENCY (CF MP) [OBSOLETE]","FREQUENCY (CF MP) [OBSOLETE]","0","0","0","","","","ILL"
"321","FORMER PUBLICATION FREQUENCY","FORMER PUBLICATION FREQUENCY","1","0","0","","","","ILL"
"336","CONTENT TYPE","CONTENT TYPE","1","0","0","","","","ILL"
"337","MEDIA TYPE","MEDIA TYPE","1","0","0","","","","ILL"
"338","CARRIER TYPE","CARRIER TYPE","1","0","0","","","","ILL"
"340","PHYSICAL MEDIUM","PHYSICAL MEDIUM","1","0","0","","","","ILL"
"342","GEOSPATIAL REFERENCE DATA","GEOSPATIAL REFERENCE DATA","1","0","0","","","","ILL"
"343","PLANAR COORDINATE DATA","PLANAR COORDINATE DATA","1","0","0","","","","ILL"
"344","SOUND CHARACTERISTICS","SOUND CHARACTERISTICS","1","0","0","","","","ILL"
"345","PROJECTION CHARACTERISTICS OF MOVING IMAGE","Project Characteristics of Moving Image","1","0","0","","","","ILL"
"346","VIDEO CHARACTERISTICS","VIDEO CHARACTERISTICS","1","0","0","","","","ILL"
"347","DIGITAL FILE CHARACTERISTICS","DIGITAL FILE CHARACTERISTICS","1","0","0","","","","ILL"
"350","PRICE (NR) (BK AM CF MU VM SE) [OBSOLETE]","PRICE (NR) (BK AM CF MU VM SE) [OBSOLETE]","1","0","0","","","","ILL"
"351","ORGANIZATION AND ARRANGEMENT OF MATERIALS","ORGANIZATION AND ARRANGEMENT OF MATERIALS","1","0","0","","","","ILL"
"352","DIGITAL GRAPHIC REPRESENTATION","DIGITAL GRAPHIC REPRESENTATION","1","0","0","","","","ILL"
"355","SECURITY CLASSIFICATION CONTROL","SECURITY CLASSIFICATION CONTROL","1","0","0","","","","ILL"
"357","ORIGINATOR DISSEMINATION CONTROL","ORIGINATOR DISSEMINATION CONTROL","0","0","0","","","","ILL"
"359","RENTAL PRICE (VM) [OBSOLETE]","RENTAL PRICE (VM) [OBSOLETE]","0","0","0","","","","ILL"
"362","DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION","DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION","1","0","0","","","","ILL"
"365","TRADE PRICE","TRADE PRICE","1","0","0","","","","ILL"
"366","TRADE AVAILABILITY INFORMATION","TRADE AVAILABILITY INFORMATION","1","0","0","","","","ILL"
"370","ASSOCIATED PLACE","ASSOCIATED PLACE","1","0","0","","","","ILL"
"377","ASSOCIATED LANGUAGE","ASSOCIATED LANGUAGE","1","0","0","","","","ILL"
"380","FORM OF WORK","FORM OF WORK","1","0","0","","","","ILL"
"381","OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION","OTHER DISTINGUISHING CHARACTERISTICS OF WORK OR EXPRESSION","1","0","0","","","","ILL"
"382","MEDIUM OF PERFORMANCE","MEDIUM OF PERFORMANCE","1","0","0","","","","ILL"
"383","NUMERIC DESIGNATION OF MUSICAL WORK","NUMERIC DESIGNATION OF MUSICAL WORK","1","0","0","","","","ILL"
"384","KEY","KEY","0","0","0","","","","ILL"
"388","TIME PERIOD OF CREATION","TIME PERIOD OF CREATION","1","0","0","","","","ILL"
