"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"662","SUBJECT ADDED ENTRY--HIERARCHICAL PLACE NAME","SUBJECT ADDED ENTRY--HIERARCHICAL PLACE NAME","1","0","0","","","","ILL"
"690","LOCAL SUBJECT ADDED ENTRY--TOPICAL TERM (OCLC, RLIN)","LOCAL SUBJECT ADDED ENTRY--TOPICAL TERM (OCLC, RLIN)","1","0","0","","","","ILL"
"691","LOCAL SUBJECT ADDED ENTRY--GEOGRAPHIC NAME (RLIN)","LOCAL SUBJECT ADDED ENTRY--GEOGRAPHIC NAME (RLIN)","1","0","0","","","","ILL"
"696","LOCAL SUBJECT ADDED ENTRY--PERSONAL NAME (RLIN)","LOCAL SUBJECT ADDED ENTRY--PERSONAL NAME (RLIN)","1","0","0","","","","ILL"
"697","LOCAL SUBJECT ADDED ENTRY--CORPORATE NAME (RLIN)","LOCAL SUBJECT ADDED ENTRY--CORPORATE NAME (RLIN)","1","0","0","","","","ILL"
"698","LOCAL SUBJECT ADDED ENTRY--MEETING NAME (RLIN)","LOCAL SUBJECT ADDED ENTRY--MEETING NAME (RLIN)","1","0","0","","","","ILL"
"699","LOCAL SUBJECT ADDED ENTRY--UNIFORM TITLE (RLIN)","LOCAL SUBJECT ADDED ENTRY--UNIFORM TITLE (RLIN)","1","0","0","","","","ILL"
"700","ADDED ENTRY--PERSONAL NAME","ADDED ENTRY--PERSONAL NAME","1","0","0","","","","ILL"
"705","ADDED ENTRY--PERSONAL NAME (PERFORMER) (MU) [OBSOLETE]","ADDED ENTRY--PERSONAL NAME (PERFORMER) (MU) [OBSOLETE]","1","0","0","","","","ILL"
"710","ADDED ENTRY--CORPORATE NAME","ADDED ENTRY--CORPORATE NAME","1","0","0","","","","ILL"
"711","ADDED ENTRY--MEETING NAME","ADDED ENTRY--MEETING NAME","1","0","0","","","","ILL"
"715","ADDED ENTRY--CORPORATE NAME (PERFORMER) (MU) [OBSOLETE]","ADDED ENTRY--CORPORATE NAME (PERFORMER) (MU) [OBSOLETE]","1","0","0","","","","ILL"
"720","ADDED ENTRY--UNCONTROLLED NAME","ADDED ENTRY--UNCONTROLLED NAME","1","0","0","","","","ILL"
"730","ADDED ENTRY--UNIFORM TITLE","ADDED ENTRY--UNIFORM TITLE","1","0","0","","","","ILL"
"740","ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE","ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE","1","0","0","","","","ILL"
"752","ADDED ENTRY--HIERARCHICAL PLACE NAME","ADDED ENTRY--HIERARCHICAL PLACE NAME","1","0","0","","","","ILL"
"753","SYSTEM DETAILS ACCESS TO COMPUTER FILES","SYSTEM DETAILS ACCESS TO COMPUTER FILES","1","0","0","","","","ILL"
"754","ADDED ENTRY--TAXONOMIC IDENTIFICATION","ADDED ENTRY--TAXONOMIC IDENTIFICATION","1","0","0","","","","ILL"
"755","ADDED ENTRY--PHYSICAL CHARACTERISTICS [OBSOLETE]","ADDED ENTRY--PHYSICAL CHARACTERISTICS [OBSOLETE]","1","0","0","","","","ILL"
"760","MAIN SERIES ENTRY","MAIN SERIES ENTRY","1","0","0","","","","ILL"
"762","SUBSERIES ENTRY","SUBSERIES ENTRY","1","0","0","","","","ILL"
"765","ORIGINAL LANGUAGE ENTRY","ORIGINAL LANGUAGE ENTRY","1","0","0","","","","ILL"
"767","TRANSLATION ENTRY","TRANSLATION ENTRY","1","0","0","","","","ILL"
"770","SUPPLEMENT/SPECIAL ISSUE ENTRY","SUPPLEMENT/SPECIAL ISSUE ENTRY","1","0","0","","","","ILL"
"772","SUPPLEMENT PARENT ENTRY","SUPPLEMENT PARENT ENTRY","1","0","0","","","","ILL"
"773","HOST ITEM ENTRY","HOST ITEM ENTRY","1","0","0","","","","ILL"
"774","CONSTITUENT UNIT ENTRY","CONSTITUENT UNIT ENTRY","1","0","0","","","","ILL"
"775","OTHER EDITION ENTRY","OTHER EDITION ENTRY","1","0","0","","","","ILL"
"776","ADDITIONAL PHYSICAL FORM ENTRY","ADDITIONAL PHYSICAL FORM ENTRY","1","0","0","","","","ILL"
"777","ISSUED WITH ENTRY","ISSUED WITH ENTRY","1","0","0","","","","ILL"
"780","PRECEDING ENTRY","PRECEDING ENTRY","1","0","0","","","","ILL"
"785","SUCCEEDING ENTRY","SUCCEEDING ENTRY","1","0","0","","","","ILL"
"786","DATA SOURCE ENTRY","DATA SOURCE ENTRY","1","0","0","","","","ILL"
"787","NONSPECIFIC RELATIONSHIP ENTRY","NONSPECIFIC RELATIONSHIP ENTRY","1","0","0","","","","ILL"
"789","COMPONENT ITEM ENTRY (RLIN)","COMPONENT ITEM ENTRY (RLIN)","1","0","0","","","","ILL"
"796","LOCAL ADDED ENTRY--PERSONAL NAME (RLIN)","LOCAL ADDED ENTRY--PERSONAL NAME (RLIN)","1","0","0","","","","ILL"
"797","LOCAL ADDED ENTRY--CORPORATE NAME (RLIN)","LOCAL ADDED ENTRY--CORPORATE NAME (RLIN)","1","0","0","","","","ILL"
"798","LOCAL ADDED ENTRY--MEETING NAME (RLIN)","LOCAL ADDED ENTRY--MEETING NAME (RLIN)","1","0","0","","","","ILL"
"799","LOCAL ADDED ENTRY--UNIFORM TITLE (RLIN)","LOCAL ADDED ENTRY--UNIFORM TITLE (RLIN)","1","0","0","","","","ILL"
