"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"952","c","Shelving location","Shelving location","0","0","0","items.location","10","LOC","","","0","0","MTLB","","","","9999","0"
"952","d","Date acquired","Date acquired","0","0","0","items.dateaccessioned","10","","","dateaccessioned.pl","0","0","MTLB","","","","9999","0"
"952","e","Source of acquisition","Source of acquisition","0","0","0","items.booksellerid","10","","","","0","5","MTLB","","","","9999","0"
"952","f","Coded location qualifier","Coded location qualifier","0","0","0","items.coded_location_qualifier","10","","","","0","5","MTLB","","","","9999","0"
"952","g","Cost, normal purchase price","Cost, normal purchase price","0","0","0","items.price","10","","","","0","5","MTLB","","","10.00","9999","0"
"952","h","Serial Enumeration / chronology","Serial Enumeration / chronology","0","0","0","items.enumchron","10","","","","0","0","MTLB","","","","9999","0"
"952","j","Shelving control number","Shelving control number","0","0","0","items.stocknumber","10","","","","0","5","MTLB","","","","9999","0"
"952","l","Koha issues (times borrowed)","Koha issues (times borrowed)","0","0","0","items.issues","-1","","","","0","0","MTLB","","","","9999","0"
"952","m","Koha renewals","Koha renewals","0","0","0","items.renewals","-1","","","","0","0","MTLB","","","","9999","0"
"952","n","Koha reserves (requests)","Koha reserves (requests)","0","0","0","items.reserves","-1","","","","0","0","MTLB","","","","9999","0"
"952","o","Koha full call number","Koha full call number","0","0","0","items.itemcallnumber","10","","","","0","0","MTLB","","","","9999","0"
"952","p","Piece designation (barcode)","Piece designation (barcode)","0","1","0","items.barcode","10","","","barcode.pl","0","0","MTLB","","","","9999","0"
"952","q","Koha out on loan","Koha out on loan","0","0","0","items.onloan","-1","","","","0","0","MTLB","","","","9999","0"
"952","r","Koha date last seen","Koha date last seen","0","0","0","items.datelastseen","-1","","","","0","0","MTLB","","","","9999","0"
"952","s","Koha date last borrowed","Koha date last borrowed","0","0","0","items.datelastborrowed","-1","","","","0","0","MTLB","","","","9999","0"
"952","t","Copy number","Copy number","0","0","0","items.copynumber","-1","","","","0","0","MTLB","","","","9999","0"
"952","u","Uniform Resource Identifier","Uniform Resource Identifier","0","0","0","items.uri","-1","","","","0","0","MTLB","","","","9999","0"
"952","v","Cost, replacement price","Cost, replacement price","0","0","0","items.replacementprice","10","","","","0","0","MTLB","","","10.00","9999","0"
"952","w","Price effective from","Price effective from","0","0","0","items.replacementpricedate","-1","","","","0","5","MTLB","","","","9999","0"
"952","x","Nonpublic note ","Nonpublic note","1","0","0","items.itemnotes_nonpublic","10","","","","0","0","MTLB","","","","9999","0"
"952","y","Koha item type","Koha item type","0","1","0","items.itype","10","itemtypes","","","0","0","MTLB","","","","9999","0"
"952","z","Public note","Public note","0","0","0","items.itemnotes","10","","","","0","0","MTLB","","","","9999","0"
"999","c","Koha biblionumber","Koha biblionumber","0","0","0","biblio.biblionumber","-1","","","","","-5","MTLB","","","","9999","0"
"999","d","Koha biblioitemnumber","Koha biblioitemnumber","0","0","0","biblioitems.biblioitemnumber","-1","","","","","-5","MTLB","","","","9999","0"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#"

